"date_time","weather_general","weather_detailed","clouds_coverage_pct","temperature","rain_mm","snow_mm","traffic"
2014-10-01 00:00:00,"Clear","sky is clear",1,11.5,0,0,508
2014-10-01 01:00:00,"Clear","sky is clear",1,10.3,0,0,323
2014-10-01 02:00:00,"Clear","sky is clear",1,8,0,0,274
2014-10-01 03:00:00,"Clear","sky is clear",1,7.9,0,0,372
2014-10-01 04:00:00,"Clear","sky is clear",1,6.4,0,0,812
2014-10-01 05:00:00,"Clear","sky is clear",1,5.5,0,0,2720
2014-10-01 06:00:00,"Clear","sky is clear",1,5.1,0,0,5674
2014-10-01 08:00:00,"Clear","sky is clear",1,5,0,0,6512
2014-10-01 09:00:00,"Clear","sky is clear",1,9.3,0,0,5473
2014-10-01 12:00:00,"Clear","sky is clear",1,18.8,0,0,5096
2014-10-01 13:00:00,"Clear","sky is clear",1,20.1,0,0,4887
2014-10-01 14:00:00,"Clear","sky is clear",1,21.2,0,0,5335
2014-10-01 15:00:00,"Clear","sky is clear",1,22,0,0,5699
2014-10-01 16:00:00,"Clear","sky is clear",1,22,0,0,6130
2014-10-01 18:00:00,"Clouds","few clouds",20,20.5,0,0,4620
2014-10-01 19:00:00,"Clouds","few clouds",20,17.5,0,0,3594
2014-10-01 20:00:00,"Clouds","few clouds",20,15,0,0,2895
2014-10-01 21:00:00,"Clear","sky is clear",1,14,0,0,2643
2014-10-01 22:00:00,"Clear","sky is clear",1,13.1,0,0,1783
2014-10-01 23:00:00,"Clear","sky is clear",1,12.1,0,0,1017
2014-10-02 00:00:00,"Clear","sky is clear",1,11.4,0,0,597
2014-10-02 01:00:00,"Clear","sky is clear",1,10.3,0,0,374
2014-10-02 02:00:00,"Clear","sky is clear",1,10,0,0,319
2014-10-02 03:00:00,"Clear","sky is clear",1,8.9,0,0,367
2014-10-02 04:00:00,"Clear","sky is clear",1,8.5,0,0,838
2014-10-02 05:00:00,"Clear","sky is clear",1,8.2,0,0,2729
2014-10-02 06:00:00,"Clear","sky is clear",1,7.6,0,0,5689
2014-10-02 07:00:00,"Clear","sky is clear",1,7.4,0,0,6997
2014-10-02 08:00:00,"Clear","sky is clear",1,8.7,0,0,5987
2014-10-02 09:00:00,"Clear","sky is clear",1,11.8,0,0,5305
2014-10-02 10:00:00,"Clear","sky is clear",1,16,0,0,4599
2014-10-02 11:00:00,"Clear","sky is clear",1,18.4,0,0,4887
2014-10-02 12:00:00,"Clear","sky is clear",1,21.8,0,0,5110
2014-10-02 13:00:00,"Clear","sky is clear",1,23.2,0,0,5178
2014-10-02 14:00:00,"Clear","sky is clear",1,24.2,0,0,5501
2014-10-02 15:00:00,"Clear","sky is clear",1,25,0,0,5709
2014-10-02 16:00:00,"Clouds","few clouds",20,24.9,0,0,6292
2014-10-02 17:00:00,"Clouds","few clouds",20,24.5,0,0,6057
2014-10-02 18:00:00,"Clouds","scattered clouds",40,23.2,0,0,4908
2014-10-02 19:00:00,"Clouds","scattered clouds",40,20.7,0,0,3501
2014-10-02 20:00:00,"Clouds","scattered clouds",40,19.3,0,0,3038
2014-10-02 21:00:00,"Clouds","broken clouds",75,18.6,0,0,2817
2014-10-02 22:00:00,"Clouds","broken clouds",75,18.2,0,0,1985
2014-10-02 23:00:00,"Clouds","broken clouds",75,18,0,0,1175
2014-10-03 00:00:00,"Clouds","broken clouds",75,17.5,0,0,624
2014-10-03 01:00:00,"Clouds","scattered clouds",40,17.3,0,0,387
2014-10-03 03:00:00,"Clear","sky is clear",0,16.1,0,0,375
2014-10-03 05:00:00,"Clouds","broken clouds",75,10.1,0,0,2481
2014-10-03 06:00:00,"Clouds","overcast clouds",90,9.1,0,0,5537
2014-10-03 07:00:00,"Clouds","overcast clouds",90,8.5,0,0,6627
2014-10-03 08:00:00,"Clouds","overcast clouds",90,7.4,0,0,5534
2014-10-03 09:00:00,"Clouds","broken clouds",75,6.9,0,0,5404
2014-10-03 10:00:00,"Clouds","broken clouds",75,7,0,0,4771
2014-10-03 11:00:00,"Clouds","overcast clouds",90,6.9,0,0,5215
2014-10-03 12:00:00,"Clouds","overcast clouds",90,7.4,0,0,5864
2014-10-03 13:00:00,"Clouds","broken clouds",75,8.3,0,0,5964
2014-10-03 14:00:00,"Clouds","overcast clouds",90,8.6,0,0,6104
2014-10-03 15:00:00,"Clouds","overcast clouds",90,8.8,0,0,6128
2014-10-03 16:00:00,"Clouds","overcast clouds",90,8.6,0,0,6068
2014-10-03 17:00:00,"Clouds","overcast clouds",90,8.3,0,0,6166
2014-10-03 18:00:00,"Clouds","overcast clouds",90,7.7,0,0,5376
2014-10-03 19:00:00,"Clouds","overcast clouds",90,7,0,0,4066
2014-10-03 20:00:00,"Clouds","overcast clouds",90,6.6,0,0,3366
2014-10-03 21:00:00,"Clouds","broken clouds",75,6.5,0,0,2976
2014-10-03 22:00:00,"Clouds","scattered clouds",40,6.1,0,0,2451
2014-10-03 23:00:00,"Clouds","scattered clouds",40,5.9,0,0,1828
2014-10-04 00:00:00,"Clouds","overcast clouds",90,5.7,0,0,1234
2014-10-04 01:00:00,"Clouds","overcast clouds",90,5.4,0,0,717
2014-10-04 02:00:00,"Clouds","overcast clouds",90,5.4,0,0,547
2014-10-04 04:00:00,"Clouds","broken clouds",75,3.8,0,0,420
2014-10-04 05:00:00,"Clouds","few clouds",20,3.2,0,0,691
2014-10-04 06:00:00,"Clear","sky is clear",1,2.2,0,0,1356
2014-10-04 07:00:00,"Clear","sky is clear",1,2,0,0,2076
2014-10-04 08:00:00,"Clear","sky is clear",1,1.8,0,0,3338
2014-10-04 09:00:00,"Clouds","scattered clouds",40,1.9,0,0,4258
2014-10-04 10:00:00,"Clouds","few clouds",20,3.7,0,0,4861
2014-10-04 11:00:00,"Clouds","few clouds",20,4.9,0,0,5189
2014-10-04 12:00:00,"Clouds","scattered clouds",40,5.9,0,0,5666
2014-10-04 13:00:00,"Clouds","broken clouds",75,7,0,0,5075
2014-10-04 14:00:00,"Clouds","broken clouds",75,7.1,0,0,5022
2014-10-04 15:00:00,"Clouds","broken clouds",75,6.9,0,0,5155
2014-10-04 16:00:00,"Clouds","overcast clouds",90,5.9,0,0,5021
2014-10-04 17:00:00,"Clouds","overcast clouds",90,5.8,0,0,4777
2014-10-04 18:00:00,"Clouds","overcast clouds",90,5.2,0,0,4366
2014-10-04 19:00:00,"Clouds","overcast clouds",90,5,0,0,3860
2014-10-04 20:00:00,"Clouds","overcast clouds",90,5,0,0,3161
2014-10-04 21:00:00,"Clouds","overcast clouds",90,4.8,0,0,2996
2014-10-04 22:00:00,"Clouds","overcast clouds",90,3.8,0,0,3205
2014-10-04 23:00:00,"Clouds","broken clouds",75,3.2,0,0,1940
2014-10-05 00:00:00,"Clouds","broken clouds",75,3,0,0,1232
2014-10-05 03:00:00,"Clouds","overcast clouds",90,2.6,0,0,319
2014-10-05 04:00:00,"Clouds","overcast clouds",90,2.5,0,0,311
2014-10-05 05:00:00,"Clouds","broken clouds",75,2.4,0,0,630
2014-10-05 06:00:00,"Clouds","overcast clouds",90,1.9,0,0,1504
2014-10-05 07:00:00,"Clouds","overcast clouds",90,1.6,0,0,1543
2014-10-05 08:00:00,"Clouds","broken clouds",75,1.6,0,0,2230
2014-10-05 09:00:00,"Clouds","broken clouds",75,2.4,0,0,4563
2014-10-05 10:00:00,"Clouds","broken clouds",75,3.1,0,0,4627
2014-10-05 11:00:00,"Clouds","overcast clouds",90,3.9,0,0,4526
2014-10-05 12:00:00,"Clouds","overcast clouds",90,4.3,0,0,5136
2014-10-05 13:00:00,"Clouds","overcast clouds",90,5.3,0,0,6647
2014-10-05 14:00:00,"Clouds","overcast clouds",90,6.1,0,0,6586
2014-10-05 15:00:00,"Clouds","overcast clouds",90,6.1,0,0,4426
2014-10-05 16:00:00,"Clouds","overcast clouds",90,6.3,0,0,4329
2014-10-05 17:00:00,"Clouds","overcast clouds",90,6.2,0,0,3829
2014-10-05 18:00:00,"Clouds","overcast clouds",90,6.1,0,0,4016
2014-10-05 19:00:00,"Clouds","overcast clouds",90,5,0,0,3388
2014-10-05 20:00:00,"Clouds","broken clouds",75,3.6,0,0,2818
2014-10-05 21:00:00,"Clouds","overcast clouds",90,2.6,0,0,2107
2014-10-05 22:00:00,"Clouds","broken clouds",75,1.7,0,0,1547
2014-10-05 23:00:00,"Clouds","few clouds",20,0.8,0,0,954
2014-10-06 00:00:00,"Clouds","few clouds",20,-0.1,0,0,456
2014-10-06 01:00:00,"Clouds","few clouds",20,-0.5,0,0,339
2014-10-06 02:00:00,"Clear","sky is clear",1,-1.4,0,0,264
2014-10-06 03:00:00,"Clear","sky is clear",1,-2.1,0,0,318
2014-10-06 04:00:00,"Clear","sky is clear",1,-2.5,0,0,785
2014-10-06 05:00:00,"Clear","sky is clear",1,-2.8,0,0,2572
2014-10-06 06:00:00,"Clouds","few clouds",20,-3.5,0,0,5556
2014-10-06 07:00:00,"Clouds","few clouds",20,-3.1,0,0,6671
2014-10-06 08:00:00,"Clouds","few clouds",20,-1.9,0,0,5969
2014-10-06 09:00:00,"Clouds","few clouds",20,0.6,0,0,4831
2014-10-06 10:00:00,"Clouds","few clouds",20,3.6,0,0,4394
2014-10-06 11:00:00,"Clouds","few clouds",20,6.3,0,0,4409
2014-10-06 12:00:00,"Clear","sky is clear",1,6.7,0,0,4648
2014-10-06 13:00:00,"Clouds","scattered clouds",40,9.2,0,0,4599
2014-10-06 14:00:00,"Clouds","scattered clouds",40,9.8,0,0,5129
2014-10-06 15:00:00,"Clear","sky is clear",1,10.3,0,0,5504
2014-10-06 16:00:00,"Clear","sky is clear",1,11.2,0,0,5976
2014-10-06 17:00:00,"Clouds","scattered clouds",40,11.3,0,0,5665
2014-10-06 18:00:00,"Clouds","scattered clouds",40,11.1,0,0,4262
2014-10-06 19:00:00,"Clouds","few clouds",20,8.8,0,0,3067
2014-10-06 20:00:00,"Clear","sky is clear",1,6.7,0,0,2380
2014-10-06 21:00:00,"Clear","sky is clear",1,6.2,0,0,2019
2014-10-06 22:00:00,"Clear","sky is clear",1,5.8,0,0,1400
2014-10-06 23:00:00,"Clear","sky is clear",1,5.3,0,0,911
2014-10-07 00:00:00,"Clear","sky is clear",1,4.6,0,0,512
2014-10-07 01:00:00,"Clear","sky is clear",1,4.1,0,0,305
2014-10-07 02:00:00,"Clear","sky is clear",1,4.3,0,0,254
2014-10-07 04:00:00,"Clouds","few clouds",20,3.8,0,0,794
2014-10-07 05:00:00,"Clouds","scattered clouds",40,3.4,0,0,2676
2014-10-07 06:00:00,"Clouds","scattered clouds",40,3.5,0,0,5729
2014-10-07 07:00:00,"Clouds","broken clouds",75,4.2,0,0,6445
2014-10-07 08:00:00,"Clouds","overcast clouds",90,5.2,0,0,5767
2014-10-07 09:00:00,"Clouds","overcast clouds",90,6.2,0,0,5604
2014-10-07 10:00:00,"Clouds","overcast clouds",90,8.2,0,0,4534
2014-10-07 11:00:00,"Clouds","overcast clouds",90,10,0,0,4696
2014-10-07 12:00:00,"Clouds","broken clouds",75,10.9,0,0,5065
2014-10-07 13:00:00,"Clouds","broken clouds",75,12,0,0,5023
2014-10-07 14:00:00,"Clouds","overcast clouds",90,13.2,0,0,5298
2014-10-07 15:00:00,"Rain","light rain",100,14.1,0,0,5777
2014-10-07 16:00:00,"Clouds","overcast clouds",90,15.4,0,0,6353
2014-10-07 17:00:00,"Clouds","overcast clouds",90,17.2,0,0,6126
2014-10-07 18:00:00,"Clouds","overcast clouds",90,17,0,0,4462
2014-10-07 19:00:00,"Clouds","broken clouds",75,15.7,0,0,3409
2014-10-07 20:00:00,"Clouds","overcast clouds",90,14.2,0,0,2770
2014-10-07 21:00:00,"Clouds","overcast clouds",90,12,0,0,2300
2014-10-07 22:00:00,"Clouds","overcast clouds",90,10.3,0,0,1851
2014-10-07 23:00:00,"Clouds","overcast clouds",90,9.3,0,0,946
2014-10-08 00:00:00,"Clouds","overcast clouds",90,8.7,0,0,495
2014-10-08 01:00:00,"Clouds","overcast clouds",90,8.6,0,0,330
2014-10-08 02:00:00,"Clouds","broken clouds",75,7.9,0,0,262
2014-10-08 03:00:00,"Clouds","overcast clouds",90,8,0,0,360
2014-10-08 06:00:00,"Clear","sky is clear",92,8.1,0,0,5873
2014-10-08 07:00:00,"Rain","light rain",99,8.1,0,0,6796
2014-10-08 07:00:00,"Drizzle","light intensity drizzle",99,8.1,0,0,6789
2014-10-08 08:00:00,"Rain","light rain",99,7,0,0,6284
2014-10-08 08:00:00,"Drizzle","light intensity drizzle",99,7,0,0,6287
2014-10-08 09:00:00,"Rain","light rain",99,6.5,0,0,5685
2014-10-08 09:00:00,"Drizzle","light intensity drizzle",99,6.5,0,0,5676
2014-10-08 10:00:00,"Clear","sky is clear",99,6.5,0,0,4633
2014-10-08 11:00:00,"Clear","sky is clear",1,7,0,0,4879
2014-10-08 12:00:00,"Clouds","broken clouds",75,8.9,0,0,5027
2014-10-08 13:00:00,"Clouds","broken clouds",75,9.1,0,0,5066
2014-10-08 14:00:00,"Clouds","overcast clouds",90,8.9,0,0,5229
2014-10-08 15:00:00,"Clouds","overcast clouds",90,8.4,0,0,5613
2014-10-08 16:00:00,"Clear","sky is clear",81,8.1,0,0,6289
2014-10-08 18:00:00,"Clear","sky is clear",81,9.5,0,0,4785
2014-10-08 19:00:00,"Clear","sky is clear",81,9.5,0,0,3341
2014-10-08 20:00:00,"Clear","sky is clear",81,9.5,0,0,3012
2014-10-08 21:00:00,"Clear","sky is clear",81,9.5,0,0,2604
2014-10-08 22:00:00,"Clear","sky is clear",81,9.5,0,0,1907
2014-10-08 23:00:00,"Clear","sky is clear",81,9.5,0,0,1032
2014-10-09 01:00:00,"Clear","sky is clear",1,0.8,0,0,347
2014-10-09 03:00:00,"Clouds","broken clouds",75,1.2,0,0,355
2014-10-09 04:00:00,"Clouds","broken clouds",75,0.9,0,0,847
2014-10-09 05:00:00,"Clouds","scattered clouds",40,0.6,0,0,2794
2014-10-09 06:00:00,"Clear","sky is clear",1,-0.5,0,0,5821
2014-10-09 07:00:00,"Clear","sky is clear",1,-0.5,0,0,6795
2014-10-09 08:00:00,"Clear","sky is clear",1,-0.6,0,0,6305
2014-10-09 09:00:00,"Clouds","few clouds",20,2,0,0,5295
2014-10-09 10:00:00,"Clear","sky is clear",1,2.2,0,0,4637
2014-10-09 14:00:00,"Clear","sky is clear",50,11,0,0,5558
2014-10-09 15:00:00,"Clear","sky is clear",50,11,0,0,5820
2014-10-09 16:00:00,"Clouds","broken clouds",75,10.6,0,0,6271
2014-10-09 17:00:00,"Clouds","broken clouds",75,10.4,0,0,5942
2014-10-09 18:00:00,"Clouds","overcast clouds",90,10.2,0,0,4950
2014-10-09 19:00:00,"Clouds","overcast clouds",90,8.9,0,0,3514
2014-10-09 20:00:00,"Clouds","overcast clouds",90,8.8,0,0,3035
2014-10-09 21:00:00,"Clouds","overcast clouds",90,8.7,0,0,2679
2014-10-09 22:00:00,"Clouds","overcast clouds",90,9,0,0,2090
2014-10-09 23:00:00,"Clouds","overcast clouds",90,9.4,0,0,1282
2014-10-10 00:00:00,"Clouds","overcast clouds",90,10.8,0,0,622
2014-10-10 01:00:00,"Clouds","overcast clouds",90,11.5,0,0,413
2014-10-10 02:00:00,"Clouds","overcast clouds",90,11.5,0,0,331
2014-10-10 03:00:00,"Drizzle","light intensity drizzle",72,10,0,0,374
2014-10-10 04:00:00,"Rain","light rain",72,9.1,0,0,733
2014-10-10 05:00:00,"Drizzle","light intensity drizzle",72,7.6,0,0,2555
2014-10-10 06:00:00,"Clouds","broken clouds",75,5.4,0,0,5583
2014-10-10 07:00:00,"Clouds","broken clouds",75,4.5,0,0,6991
2014-10-10 08:00:00,"Clouds","overcast clouds",90,4.8,0,0,5856
2014-10-10 09:00:00,"Clouds","overcast clouds",90,5,0,0,5228
2014-10-10 10:00:00,"Clouds","broken clouds",75,6.1,0,0,4866
2014-10-10 11:00:00,"Clouds","broken clouds",75,7.3,0,0,5150
2014-10-10 12:00:00,"Clouds","scattered clouds",40,7.8,0,0,5517
2014-10-10 13:00:00,"Clouds","scattered clouds",40,8.6,0,0,5384
2014-10-10 14:00:00,"Clouds","broken clouds",75,8.7,0,0,5753
2014-10-10 15:00:00,"Clouds","broken clouds",75,9.3,0,0,5888
2014-10-10 16:00:00,"Clouds","broken clouds",75,9.1,0,0,6062
2014-10-10 17:00:00,"Clouds","scattered clouds",40,8.4,0,0,6027
2014-10-10 18:00:00,"Clouds","few clouds",20,7.1,0,0,5254
2014-10-10 23:00:00,"Clear","sky is clear",56,9.1,0,0,1895
2014-10-11 00:00:00,"Clear","sky is clear",1,-0.6,0,0,1332
2014-10-11 01:00:00,"Clear","sky is clear",1,-1.1,0,0,770
2014-10-11 02:00:00,"Clear","sky is clear",1,-2.2,0,0,574
2014-10-11 03:00:00,"Clouds","few clouds",20,-2.9,0,0,421
2014-10-11 04:00:00,"Clear","sky is clear",1,-3.7,0,0,398
2014-10-11 05:00:00,"Clear","sky is clear",1,-3.9,0,0,728
2014-10-11 06:00:00,"Clear","sky is clear",1,-4.2,0,0,1416
2014-10-11 07:00:00,"Clouds","broken clouds",75,-4.2,0,0,2211
2014-10-11 08:00:00,"Clouds","scattered clouds",40,-3.9,0,0,3476
2014-10-11 09:00:00,"Clouds","scattered clouds",40,-0.5,0,0,4545
2014-10-11 10:00:00,"Clouds","few clouds",20,3.6,0,0,4581
2014-10-11 11:00:00,"Clear","sky is clear",1,6.1,0,0,4437
2014-10-11 12:00:00,"Clear","sky is clear",1,7.2,0,0,4620
2014-10-11 13:00:00,"Clear","sky is clear",1,8.7,0,0,4444
2014-10-11 14:00:00,"Clear","sky is clear",1,9.9,0,0,4494
2014-10-11 15:00:00,"Clear","sky is clear",1,10.8,0,0,4483
2014-10-11 16:00:00,"Clear","sky is clear",1,11.4,0,0,4588
2014-10-11 17:00:00,"Clear","sky is clear",1,11.3,0,0,4481
2014-10-11 18:00:00,"Clear","sky is clear",1,10.5,0,0,4221
2014-10-11 19:00:00,"Clouds","few clouds",20,8.7,0,0,3670
2014-10-11 20:00:00,"Clear","sky is clear",1,8.2,0,0,3017
2014-10-11 21:00:00,"Clouds","broken clouds",75,8.7,0,0,2778
2014-10-11 22:00:00,"Clouds","overcast clouds",90,9.1,0,0,2880
2014-10-11 23:00:00,"Clouds","overcast clouds",90,9,0,0,1932
2014-10-12 00:00:00,"Clouds","overcast clouds",90,9.3,0,0,1301
2014-10-12 01:00:00,"Clouds","overcast clouds",90,9.4,0,0,870
2014-10-12 02:00:00,"Clouds","overcast clouds",90,9.4,0,0,652
2014-10-12 03:00:00,"Clouds","overcast clouds",90,9.1,0,0,368
2014-10-12 04:00:00,"Clouds","overcast clouds",90,8.9,0,0,258
2014-10-12 05:00:00,"Clouds","overcast clouds",90,9.1,0,0,507
2014-10-12 06:00:00,"Clouds","overcast clouds",90,9.1,0,0,862
2014-10-12 07:00:00,"Clouds","overcast clouds",90,9.1,0,0,1130
2014-10-12 08:00:00,"Mist","mist",57,9.1,0,0,1796
2014-10-12 09:00:00,"Drizzle","light intensity drizzle",57,9.3,0,0,2690
2014-10-12 09:00:00,"Mist","mist",57,9.3,0,0,2685
2014-10-12 09:00:00,"Haze","haze",57,9.3,0,0,2687
2014-10-12 10:00:00,"Drizzle","light intensity drizzle",57,9.2,0,0,3373
2014-10-12 10:00:00,"Mist","mist",57,9.2,0,0,3370
2014-10-12 11:00:00,"Drizzle","light intensity drizzle",57,9.7,0,0,3654
2014-10-12 11:00:00,"Mist","mist",57,9.7,0,0,3659
2014-10-12 12:00:00,"Mist","mist",57,10.2,0,0,4075
2014-10-12 12:00:00,"Rain","light rain",57,10.2,0,0,4078
2014-10-12 12:00:00,"Drizzle","light intensity drizzle",57,10.2,0,0,4068
2014-10-12 13:00:00,"Rain","light rain",93,10.6,0,0,4127
2014-10-12 13:00:00,"Mist","mist",93,10.6,0,0,4132
2014-10-12 13:00:00,"Drizzle","light intensity drizzle",93,10.6,0,0,4133
2014-10-12 14:00:00,"Mist","mist",93,10.9,0,0,4360
2014-10-12 14:00:00,"Rain","light rain",93,10.9,0,0,4356
2014-10-12 14:00:00,"Drizzle","light intensity drizzle",93,10.9,0,0,4358
2014-10-12 15:00:00,"Mist","mist",93,11.4,0,0,4339
2014-10-12 15:00:00,"Rain","light rain",93,11.4,0,0,4345
2014-10-12 16:00:00,"Mist","mist",93,11.5,0,0,4237
2014-10-12 17:00:00,"Rain","light rain",93,11.5,0,0,4271
2014-10-12 17:00:00,"Mist","mist",93,11.5,0,0,4271
2014-10-12 18:00:00,"Mist","mist",93,11.2,0,0,4080
2014-10-12 19:00:00,"Mist","mist",93,11,0,0,3454
2014-10-12 20:00:00,"Mist","mist",93,10.9,0,0,2716
2014-10-12 21:00:00,"Mist","mist",93,10.4,0,0,2442
2014-10-12 22:00:00,"Mist","mist",93,9.9,0,0,1822
2014-10-12 23:00:00,"Mist","mist",93,8.8,0,0,999
2014-10-12 23:00:00,"Fog","fog",93,8.8,0,0,997
2014-10-13 00:00:00,"Mist","mist",93,8.5,0,0,537
2014-10-13 00:00:00,"Fog","fog",93,8.5,0,0,542
2014-10-13 01:00:00,"Fog","fog",85,8.4,0,0,304
2014-10-13 02:00:00,"Fog","fog",85,8.3,0,0,238
2014-10-13 03:00:00,"Mist","mist",85,8.1,0,0,340
2014-10-13 03:00:00,"Fog","fog",85,8.1,0,0,338
2014-10-13 04:00:00,"Mist","mist",85,7.9,0,0,815
2014-10-13 04:00:00,"Fog","fog",85,7.9,0,0,813
2014-10-13 05:00:00,"Mist","mist",85,7.7,0,0,2604
2014-10-13 05:00:00,"Fog","fog",85,7.7,0,0,2602
2014-10-13 06:00:00,"Mist","mist",85,7.2,0,0,5709
2014-10-13 07:00:00,"Mist","mist",100,7,0,0,6794
2014-10-13 08:00:00,"Mist","mist",100,6.7,0,0,6110
2014-10-13 09:00:00,"Mist","mist",100,6.6,0,0,5095
2014-10-13 10:00:00,"Mist","mist",100,6.9,0,0,4468
2014-10-13 11:00:00,"Clouds","overcast clouds",90,7.2,0,0,4531
2014-10-13 12:00:00,"Clear","sky is clear",100,8.6,0,0,4816
2014-10-13 13:00:00,"Clouds","scattered clouds",40,10.9,0,0,4868
2014-10-13 14:00:00,"Clear","sky is clear",1,12.7,0,0,5238
2014-10-13 15:00:00,"Clear","sky is clear",1,13.7,0,0,5585
2014-10-13 16:00:00,"Clouds","few clouds",20,14.5,0,0,6242
2014-10-13 17:00:00,"Clouds","few clouds",20,14.1,0,0,5958
2014-10-13 18:00:00,"Clouds","few clouds",20,13,0,0,4538
2014-10-13 19:00:00,"Clouds","broken clouds",75,12.1,0,0,3237
2014-10-13 20:00:00,"Clouds","broken clouds",75,11.5,0,0,2679
2014-10-13 21:00:00,"Clouds","overcast clouds",90,11.3,0,0,2081
2014-10-13 22:00:00,"Clouds","few clouds",20,10.4,0,0,1386
2014-10-13 23:00:00,"Clouds","broken clouds",75,9.2,0,0,940
2014-10-14 00:00:00,"Clouds","few clouds",20,8.1,0,0,497
2014-10-14 01:00:00,"Clear","sky is clear",1,6.7,0,0,318
2014-10-14 02:00:00,"Clear","sky is clear",1,5.8,0,0,262
2014-10-14 03:00:00,"Clear","sky is clear",1,4.8,0,0,350
2014-10-14 04:00:00,"Clear","sky is clear",1,4.1,0,0,766
2014-10-14 05:00:00,"Clear","sky is clear",1,3.5,0,0,2771
2014-10-14 06:00:00,"Clear","sky is clear",1,3,0,0,5789
2014-10-14 07:00:00,"Clouds","few clouds",20,1.7,0,0,7054
2014-10-14 08:00:00,"Clouds","few clouds",20,1.8,0,0,6416
2014-10-14 09:00:00,"Clouds","few clouds",20,4.8,0,0,5253
2014-10-14 10:00:00,"Clouds","few clouds",20,7.6,0,0,4542
2014-10-14 11:00:00,"Clouds","few clouds",20,10.7,0,0,4781
2014-10-14 12:00:00,"Clouds","scattered clouds",40,12.9,0,0,5015
2014-10-14 13:00:00,"Clear","sky is clear",1,13.2,0,0,5052
2014-10-14 14:00:00,"Clouds","broken clouds",75,15,0,0,5428
2014-10-14 15:00:00,"Clouds","broken clouds",75,16,0,0,5816
2014-10-14 16:00:00,"Clouds","broken clouds",75,15.8,0,0,6499
2014-10-14 17:00:00,"Clouds","broken clouds",75,15.7,0,0,6431
2014-10-14 18:00:00,"Clouds","overcast clouds",90,15,0,0,5141
2014-10-14 19:00:00,"Rain","light rain",68,14.1,0,0,3305
2014-10-14 20:00:00,"Clouds","overcast clouds",90,13.9,0,0,2778
2014-10-14 21:00:00,"Clouds","overcast clouds",90,13.8,0,0,2323
2014-10-14 22:00:00,"Clouds","overcast clouds",90,13.9,0,0,1762
2014-10-14 23:00:00,"Clouds","overcast clouds",90,13.9,0,0,1095
2014-10-15 00:00:00,"Clouds","broken clouds",75,13.7,0,0,557
2014-10-15 01:00:00,"Clouds","broken clouds",75,13.8,0,0,330
2014-10-15 02:00:00,"Clouds","overcast clouds",90,13.8,0,0,264
2014-10-15 03:00:00,"Clouds","overcast clouds",90,13.9,0,0,362
2014-10-15 04:00:00,"Clouds","broken clouds",75,13.4,0,0,776
2014-10-15 05:00:00,"Clouds","overcast clouds",90,12.8,0,0,2727
2014-10-15 06:00:00,"Clouds","overcast clouds",90,12.1,0,0,5636
2014-10-15 07:00:00,"Clouds","broken clouds",75,11.8,0,0,5565
2014-10-15 08:00:00,"Clouds","broken clouds",75,12.2,0,0,6276
2014-10-15 09:00:00,"Rain","proximity shower rain",100,12.6,0,0,5400
2014-10-15 09:00:00,"Rain","light rain",100,12.6,0,0,5405
2014-10-15 10:00:00,"Clouds","broken clouds",75,13.9,0,0,4690
2014-10-15 11:00:00,"Clouds","broken clouds",75,15.2,0,0,4640
2014-10-15 12:00:00,"Clear","sky is clear",1,15.5,0,0,4974
2014-10-15 13:00:00,"Clear","sky is clear",1,17.2,0,0,4855
2014-10-15 14:00:00,"Clear","sky is clear",1,18.2,0,0,4286
2014-10-15 15:00:00,"Clear","sky is clear",1,18.9,0,0,4709
2014-10-15 16:00:00,"Clear","sky is clear",1,19.5,0,0,6723
2014-10-15 17:00:00,"Clear","sky is clear",1,19.5,0,0,6181
2014-10-15 18:00:00,"Clouds","scattered clouds",40,17.4,0,0,4839
2014-10-15 19:00:00,"Clouds","scattered clouds",40,15.2,0,0,3434
2014-10-15 20:00:00,"Clouds","scattered clouds",40,13.6,0,0,2919
2014-10-15 21:00:00,"Clouds","scattered clouds",40,12.3,0,0,2760
2014-10-15 22:00:00,"Clouds","few clouds",20,11.1,0,0,1929
2014-10-15 23:00:00,"Clouds","few clouds",20,10.7,0,0,1154
2014-10-16 00:00:00,"Clouds","few clouds",20,10.6,0,0,652
2014-10-16 01:00:00,"Clouds","scattered clouds",40,9.7,0,0,375
2014-10-16 02:00:00,"Mist","mist",99,9.2,0,0,309
2014-10-16 03:00:00,"Mist","mist",99,9.2,0,0,394
2014-10-16 04:00:00,"Clouds","overcast clouds",90,9.6,0,0,789
2014-10-16 05:00:00,"Mist","mist",99,9.7,0,0,2571
2014-10-16 06:00:00,"Clouds","broken clouds",75,11,0,0,5355
2014-10-16 07:00:00,"Clouds","overcast clouds",90,11.5,0,0,6442
2014-10-16 08:00:00,"Clouds","overcast clouds",90,11.9,0,0,5539
2014-10-16 09:00:00,"Rain","light rain",99,13.8,0,0,5252
2014-10-16 10:00:00,"Clouds","overcast clouds",90,15.2,0,0,4626
